date,state,deaths+AF8-new,deaths+AF8-unvax,deaths+AF8-pvax,deaths+AF8-fvax,deaths+AF8-boost
2020+AC0-03+AC0-22,Perak,0,0,0,0,0
2020+AC0-03+AC0-22,Perlis,1,1,0,0,0
2020+AC0-03+AC0-22,Pulau Pinang,1,1,0,0,0
2020+AC0-03+AC0-22,Sabah,0,0,0,0,0
2020+AC0-03+AC0-22,Sarawak,1,1,0,0,0
2020+AC0-03+AC0-22,Selangor,0,0,0,0,0
2020+AC0-03+AC0-22,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-22,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-03+AC0-22,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-22,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-23,Johor,3,3,0,0,0
2020+AC0-03+AC0-23,Kedah,0,0,0,0,0
2020+AC0-03+AC0-23,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-23,Melaka,0,0,0,0,0
2020+AC0-03+AC0-23,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-23,Pahang,0,0,0,0,0
2020+AC0-03+AC0-23,Perak,0,0,0,0,0
2020+AC0-03+AC0-23,Perlis,0,0,0,0,0
2020+AC0-03+AC0-23,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-23,Sabah,0,0,0,0,0
2020+AC0-03+AC0-23,Sarawak,2,2,0,0,0
2020+AC0-03+AC0-23,Selangor,0,0,0,0,0
2020+AC0-03+AC0-23,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-23,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-23,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-23,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-24,Johor,0,0,0,0,0
2020+AC0-03+AC0-24,Kedah,0,0,0,0,0
2020+AC0-03+AC0-24,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-24,Melaka,1,1,0,0,0
2020+AC0-03+AC0-24,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-24,Pahang,0,0,0,0,0
2020+AC0-03+AC0-24,Perak,0,0,0,0,0
2020+AC0-03+AC0-24,Perlis,0,0,0,0,0
2020+AC0-03+AC0-24,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-24,Sabah,0,0,0,0,0
2020+AC0-03+AC0-24,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-24,Selangor,1,1,0,0,0
2020+AC0-03+AC0-24,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-24,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-24,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-24,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-25,Johor,2,2,0,0,0
2020+AC0-03+AC0-25,Kedah,0,0,0,0,0
2020+AC0-03+AC0-25,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-25,Melaka,0,0,0,0,0
2020+AC0-03+AC0-25,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-25,Pahang,0,0,0,0,0
2020+AC0-03+AC0-25,Perak,1,1,0,0,0
2020+AC0-03+AC0-25,Perlis,0,0,0,0,0
2020+AC0-03+AC0-25,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-25,Sabah,0,0,0,0,0
2020+AC0-03+AC0-25,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-25,Selangor,0,0,0,0,0
2020+AC0-03+AC0-25,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-25,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-25,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-25,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-26,Johor,1,1,0,0,0
2020+AC0-03+AC0-26,Kedah,1,1,0,0,0
2020+AC0-03+AC0-26,Kelantan,1,1,0,0,0
2020+AC0-03+AC0-26,Melaka,0,0,0,0,0
2020+AC0-03+AC0-26,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-26,Pahang,0,0,0,0,0
2020+AC0-03+AC0-26,Perak,1,1,0,0,0
2020+AC0-03+AC0-26,Perlis,0,0,0,0,0
2020+AC0-03+AC0-26,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-26,Sabah,0,0,0,0,0
2020+AC0-03+AC0-26,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-26,Selangor,0,0,0,0,0
2020+AC0-03+AC0-26,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-26,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-03+AC0-26,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-26,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-27,Johor,0,0,0,0,0
2020+AC0-03+AC0-27,Kedah,0,0,0,0,0
2020+AC0-03+AC0-27,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-27,Melaka,0,0,0,0,0
2020+AC0-03+AC0-27,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-27,Pahang,0,0,0,0,0
2020+AC0-03+AC0-27,Perak,0,0,0,0,0
2020+AC0-03+AC0-27,Perlis,0,0,0,0,0
2020+AC0-03+AC0-27,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-27,Sabah,0,0,0,0,0
2020+AC0-03+AC0-27,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-27,Selangor,1,1,0,0,0
2020+AC0-03+AC0-27,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-27,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-27,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-27,W.P. Putrajaya,1,1,0,0,0
2020+AC0-03+AC0-28,Johor,2,2,0,0,0
2020+AC0-03+AC0-28,Kedah,0,0,0,0,0
2020+AC0-03+AC0-28,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-28,Melaka,0,0,0,0,0
2020+AC0-03+AC0-28,Negeri Sembilan,1,1,0,0,0
2020+AC0-03+AC0-28,Pahang,0,0,0,0,0
2020+AC0-03+AC0-28,Perak,1,1,0,0,0
2020+AC0-03+AC0-28,Perlis,0,0,0,0,0
2020+AC0-03+AC0-28,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-28,Sabah,0,0,0,0,0
2020+AC0-03+AC0-28,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-28,Selangor,1,1,0,0,0
2020+AC0-03+AC0-28,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-28,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-03+AC0-28,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-28,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-29,Johor,2,2,0,0,0
2020+AC0-03+AC0-29,Kedah,0,0,0,0,0
2020+AC0-03+AC0-29,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-29,Melaka,0,0,0,0,0
2020+AC0-03+AC0-29,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-29,Pahang,0,0,0,0,0
2020+AC0-03+AC0-29,Perak,0,0,0,0,0
2020+AC0-03+AC0-29,Perlis,0,0,0,0,0
2020+AC0-03+AC0-29,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-29,Sabah,0,0,0,0,0
2020+AC0-03+AC0-29,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-29,Selangor,2,2,0,0,0
2020+AC0-03+AC0-29,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-29,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-03+AC0-29,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-29,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-30,Johor,0,0,0,0,0
2020+AC0-03+AC0-30,Kedah,0,0,0,0,0
2020+AC0-03+AC0-30,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-30,Melaka,0,0,0,0,0
2020+AC0-03+AC0-30,Negeri Sembilan,1,1,0,0,0
2020+AC0-03+AC0-30,Pahang,0,0,0,0,0
2020+AC0-03+AC0-30,Perak,0,0,0,0,0
2020+AC0-03+AC0-30,Perlis,0,0,0,0,0
2020+AC0-03+AC0-30,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-30,Sabah,0,0,0,0,0
2020+AC0-03+AC0-30,Sarawak,2,2,0,0,0
2020+AC0-03+AC0-30,Selangor,1,1,0,0,0
2020+AC0-03+AC0-30,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-30,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-30,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-30,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-31,Johor,1,1,0,0,0
2020+AC0-03+AC0-31,Kedah,0,0,0,0,0
2020+AC0-03+AC0-31,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-31,Melaka,0,0,0,0,0
2020+AC0-03+AC0-31,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-31,Pahang,0,0,0,0,0
2020+AC0-03+AC0-31,Perak,0,0,0,0,0
2020+AC0-03+AC0-31,Perlis,0,0,0,0,0
2020+AC0-03+AC0-31,Pulau Pinang,0,0,0,0,0
