date,state,variable,value
2021-03-03,W.P. Labuan,Pfizer,299
2021-03-03,W.P. Putrajaya,Pfizer,483
2021-03-04,Johor,Pfizer,1975
2021-03-04,Kedah,Pfizer,724
2021-03-04,Kelantan,Pfizer,3407
2021-03-04,Melaka,Pfizer,989
2021-03-04,Negeri Sembilan,Pfizer,1230
2021-03-04,Pahang,Pfizer,1131
2021-03-04,Perak,Pfizer,1025
2021-03-04,Perlis,Pfizer,298
2021-03-04,Pulau Pinang,Pfizer,1122
2021-03-04,Sabah,Pfizer,1762
2021-03-04,Sarawak,Pfizer,394
2021-03-04,Selangor,Pfizer,2264
2021-03-04,Terengganu,Pfizer,4
2021-03-04,W.P. Kuala Lumpur,Pfizer,2434
2021-03-04,W.P. Labuan,Pfizer,209
2021-03-04,W.P. Putrajaya,Pfizer,548
2021-03-05,Johor,Pfizer,337
2021-03-05,Kedah,Pfizer,138
2021-03-05,Kelantan,Pfizer,742
2021-03-05,Melaka,Pfizer,573
2021-03-05,Negeri Sembilan,Pfizer,536
2021-03-05,Pahang,Pfizer,2057
2021-03-05,Perak,Pfizer,1019
2021-03-05,Perlis,Pfizer,330
2021-03-05,Pulau Pinang,Pfizer,1033
2021-03-05,Sabah,Pfizer,3090
2021-03-05,Sarawak,Pfizer,1332
2021-03-05,Selangor,Pfizer,2468
2021-03-05,Terengganu,Pfizer,62
2021-03-05,W.P. Kuala Lumpur,Pfizer,253
2021-03-05,W.P. Labuan,Pfizer,165
2021-03-05,W.P. Putrajaya,Pfizer,236
2021-03-06,Johor,Pfizer,718
2021-03-06,Kedah,Pfizer,109
2021-03-06,Kelantan,Pfizer,0
2021-03-06,Melaka,Pfizer,0
2021-03-06,Negeri Sembilan,Pfizer,0
2021-03-06,Pahang,Pfizer,3245
2021-03-06,Perak,Pfizer,785
2021-03-06,Perlis,Pfizer,0
2021-03-06,Pulau Pinang,Pfizer,120
2021-03-06,Sabah,Pfizer,3936
2021-03-06,Sarawak,Pfizer,3408
2021-03-06,Selangor,Pfizer,3086
2021-03-06,Terengganu,Pfizer,105
2021-03-06,W.P. Kuala Lumpur,Pfizer,0
2021-03-06,W.P. Labuan,Pfizer,83
2021-03-06,W.P. Putrajaya,Pfizer,2
2021-03-07,Johor,Pfizer,1211
2021-03-07,Kedah,Pfizer,858
2021-03-07,Kelantan,Pfizer,223
2021-03-07,Melaka,Pfizer,0
2021-03-07,Negeri Sembilan,Pfizer,0
2021-03-07,Pahang,Pfizer,661
2021-03-07,Perak,Pfizer,1
2021-03-07,Perlis,Pfizer,0
2021-03-07,Pulau Pinang,Pfizer,120
2021-03-07,Sabah,Pfizer,2370
2021-03-07,Sarawak,Pfizer,4326
2021-03-07,Selangor,Pfizer,354
2021-03-07,Terengganu,Pfizer,2356
2021-03-07,W.P. Kuala Lumpur,Pfizer,0
2021-03-07,W.P. Labuan,Pfizer,100
2021-03-07,W.P. Putrajaya,Pfizer,0
2021-03-08,Johor,Pfizer,3034
2021-03-08,Kedah,Pfizer,3113
2021-03-08,Kelantan,Pfizer,1205
2021-03-08,Melaka,Pfizer,100
2021-03-08,Negeri Sembilan,Pfizer,1124
2021-03-08,Pahang,Pfizer,1053
2021-03-08,Perak,Pfizer,2249
2021-03-08,Perlis,Pfizer,842
2021-03-08,Pulau Pinang,Pfizer,1201
2021-03-08,Sabah,Pfizer,2054
2021-03-08,Sarawak,Pfizer,3168
2021-03-08,Selangor,Pfizer,3009
2021-03-08,Terengganu,Pfizer,2235
2021-03-08,W.P. Kuala Lumpur,Pfizer,2498
2021-03-08,W.P. Labuan,Pfizer,32
2021-03-08,W.P. Putrajaya,Pfizer,285
2021-03-09,Johor,Pfizer,2100
2021-03-09,Kedah,Pfizer,2296
2021-03-09,Kelantan,Pfizer,1019
2021-03-09,Melaka,Pfizer,956
2021-03-09,Negeri Sembilan,Pfizer,2412
2021-03-09,Pahang,Pfizer,949
2021-03-09,Perak,Pfizer,2911
2021-03-09,Perlis,Pfizer,1102
2021-03-09,Pulau Pinang,Pfizer,1375
2021-03-09,Sabah,Pfizer,3015
2021-03-09,Sarawak,Pfizer,2131
2021-03-09,Selangor,Pfizer,3898
2021-03-09,Terengganu,Pfizer,2191
2021-03-09,W.P. Kuala Lumpur,Pfizer,3292
2021-03-09,W.P. Labuan,Pfizer,26
2021-03-09,W.P. Putrajaya,Pfizer,370
2021-03-10,Johor,Pfizer,1642
2021-03-10,Kedah,Pfizer,2583
2021-03-10,Kelantan,Pfizer,799
2021-03-10,Melaka,Pfizer,895
2021-03-10,Negeri Sembilan,Pfizer,2363
2021-03-10,Pahang,Pfizer,1094
2021-03-10,Perak,Pfizer,1523
2021-03-10,Perlis,Pfizer,1086
2021-03-10,Pulau Pinang,Pfizer,2146
2021-03-10,Sabah,Pfizer,2912
2021-03-10,Sarawak,Pfizer,699
2021-03-10,Selangor,Pfizer,4876
2021-03-10,Terengganu,Pfizer,1825
2021-03-10,W.P. Kuala Lumpur,Pfizer,3813
2021-03-10,W.P. Labuan,Pfizer,126
2021-03-10,W.P. Putrajaya,Pfizer,395
2021-03-11,Johor,Pfizer,2106
2021-03-11,Kedah,Pfizer,1643
2021-03-11,Kelantan,Pfizer,358
2021-03-11,Melaka,Pfizer,869
2021-03-11,Negeri Sembilan,Pfizer,59
2021-03-11,Pahang,Pfizer,1883
2021-03-11,Perak,Pfizer,3719
2021-03-11,Perlis,Pfizer,763
2021-03-11,Pulau Pinang,Pfizer,2891
2021-03-11,Sabah,Pfizer,1957
2021-03-11,Sarawak,Pfizer,18
2021-03-11,Selangor,Pfizer,5091
2021-03-11,Terengganu,Pfizer,0
2021-03-11,W.P. Kuala Lumpur,Pfizer,4756
2021-03-11,W.P. Labuan,Pfizer,2
2021-03-11,W.P. Putrajaya,Pfizer,397
2021-03-12,Johor,Pfizer,721
2021-03-12,Kedah,Pfizer,714
2021-03-12,Kelantan,Pfizer,0
2021-03-12,Melaka,Pfizer,607
2021-03-12,Negeri Sembilan,Pfizer,1401
2021-03-12,Pahang,Pfizer,2535
2021-03-12,Perak,Pfizer,7334
2021-03-12,Perlis,Pfizer,585
2021-03-12,Pulau Pinang,Pfizer,2867
2021-03-12,Sabah,Pfizer,1467
2021-03-12,Sarawak,Pfizer,900
2021-03-12,Selangor,Pfizer,3753
2021-03-12,Terengganu,Pfizer,0
2021-03-12,W.P. Kuala Lumpur,Pfizer,3143
2021-03-12,W.P. Labuan,Pfizer,6
2021-03-12,W.P. Putrajaya,Pfizer,92
2021-03-13,Johor,Pfizer,1572
2021-03-13,Kedah,Pfizer,568
2021-03-13,Kelantan,Pfizer,0
2021-03-13,Melaka,Pfizer,230
2021-03-13,Negeri Sembilan,Pfizer,14
2021-03-13,Pahang,Pfizer,3301
2021-03-13,Perak,Pfizer,3235
2021-03-13,Perlis,Pfizer,216
2021-03-13,Pulau Pinang,Pfizer,805
2021-03-13,Sabah,Pfizer,2922
2021-03-13,Sarawak,Pfizer,1728
2021-03-13,Selangor,Pfizer,2462
2021-03-13,Terengganu,Pfizer,2
2021-03-13,W.P. Kuala Lumpur,Pfizer,0
2021-03-13,W.P. Labuan,Pfizer,0
2021-03-13,W.P. Putrajaya,Pfizer,0
2021-03-14,Johor,Pfizer,1138
2021-03-14,Kedah,Pfizer,1432
2021-03-14,Kelantan,Pfizer,73
2021-03-14,Melaka,Pfizer,0
2021-03-14,Negeri Sembilan,Pfizer,0
2021-03-14,Pahang,Pfizer,202
2021-03-14,Perak,Pfizer,1369
2021-03-14,Perlis,Pfizer,0
2021-03-14,Pulau Pinang,Pfizer,505
2021-03-14,Sabah,Pfizer,2940
2021-03-14,Sarawak,Pfizer,1068
2021-03-14,Selangor,Pfizer,547
2021-03-14,Terengganu,Pfizer,1036
2021-03-14,W.P. Kuala Lumpur,Pfizer,1
2021-03-14,W.P. Labuan,Pfizer,0
2021-03-14,W.P. Putrajaya,Pfizer,0
2021-03-15,Johor,Pfizer,1797
2021-03-15,Kedah,Pfizer,2645
2021-03-15,Kelantan,Pfizer,466
2021-03-15,Melaka,Pfizer,288
2021-03-15,Negeri Sembilan,Pfizer,699
2021-03-15,Pahang,Pfizer,200
2021-03-15,Perak,Pfizer,1648
2021-03-15,Perlis,Pfizer,472
2021-03-15,Pulau Pinang,Pfizer,1834
2021-03-15,Sabah,Pfizer,4209
2021-03-15,Sarawak,Pfizer,508
2021-03-15,Selangor,Pfizer,2520
2021-03-15,Terengganu,Pfizer,821
2021-03-15,W.P. Kuala Lumpur,Pfizer,1729
2021-03-15,W.P. Labuan,Pfizer,0
2021-03-15,W.P. Putrajaya,Pfizer,342
2021-03-16,Johor,Pfizer,1436
2021-03-16,Kedah,Pfizer,2677
2021-03-16,Kelantan,Pfizer,662
2021-03-16,Melaka,Pfizer,835
2021-03-16,Negeri Sembilan,Pfizer,1630
2021-03-16,Pahang,Pfizer,407
2021-03-16,Perak,Pfizer,4745
2021-03-16,Perlis,Pfizer,797
2021-03-16,Pulau Pinang,Pfizer,2041
2021-03-16,Sabah,Pfizer,3598
2021-03-16,Sarawak,Pfizer,419
2021-03-16,Selangor,Pfizer,3163
2021-03-16,Terengganu,Pfizer,779
2021-03-16,W.P. Kuala Lumpur,Pfizer,1950
2021-03-16,W.P. Labuan,Pfizer,0
2021-03-16,W.P. Putrajaya,Pfizer,218
2021-03-17,Johor,Pfizer,892
2021-03-17,Kedah,Pfizer,1639
2021-03-17,Kelantan,Pfizer,1363
2021-03-17,Melaka,Pfizer,798
2021-03-17,Negeri Sembilan,Pfizer,1470
2021-03-17,Pahang,Pfizer,643
2021-03-17,Perak,Pfizer,2832
2021-03-17,Perlis,Pfizer,794
2021-03-17,Pulau Pinang,Pfizer,1739
2021-03-17,Sabah,Pfizer,2514
2021-03-17,Sarawak,Pfizer,174
2021-03-17,Selangor,Pfizer,3926
